Player,Average Performance Score,Won White,Won Black,Draw White,Draw Black,points
Airquake,0.11,1,0,0,0,1
Aisen1011,-0.11,0,0,0,0,0
Aslanov_Umid,0.15,1,0,0,0,1
ChainedDowntohell,0.09,0,1,0,0,1
ClauSanLuis,-0.15,0,0,0,0,0
Darko-Dimitrijevic,0.84,1,0,0,0,1
EgorYakovlev,-0.84,0,0,0,0,0
Elegance_Riks,0.13,0,1,0,0,1
Eliwood44,-0.11,0,0,0,0,0
GMSrinath,0.11,0,1,0,0,1
GameOverBro,-0.05,0,0,0,0,0
Happy1712Drummer,-0.08,0,0,0,0,0
Honiex,0.1,1,0,0,0,1
KINGOF2SOAP,-0.11,0,0,0,0,0
KnightDuta,0.14,0,1,0,0,1
MITerryble,0.05,1,0,0,0,1
MaxLeto,-0.13,0,0,0,0,0
NovakRatko,-0.14,0,0,0,0,0
Onischuk_V,0.11,0,1,0,0,1
Road2GM3000,-0.11,0,0,0,0,0
SHIVACalypso,0.93,1,0,0,0,1
Senn71,-0.1,0,0,0,0,0
Shield12,-0.93,0,0,0,0,0
cycygogne,-0.09,0,0,0,0,0
klimkoj,0.08,1,0,0,0,1
miragha_yev,0.11,1,0,0,0,1
