Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,Moves,Evaluation,white_accuracy,black_accuracy,Move Numbers
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,Honiex,Senn71,1-0,2581,2201,180+1,8:02:34 PDT,Honiex won by resignation,"b1c3,d7d5,e2e4,d5d4,c3e2,c7c5,e2g3,e7e5,f1c4,f8d6,g1f3,g8e7,f3g5,e8g8,d1h5,h7h6,g5f7,f8f7,h5f7,g8h7,g3h5","-0.03,-0.03,-0.39,-0.33,-0.39,-0.12,-0.18,0.16,0.16,0.09,0.17,2.96,3.02,4.46,4.55,4.54,4.29,4.27,4.19,8.5,7.11",96.50788130006619,83.71515388402403,21.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,Aisen1011,GMSrinath,0-1,2475,2847,180+1,8:02:41 PDT,GMSrinath won by resignation,"d2d4,f7f5,g2g3,g8f6,f1g2,g7g6,b1d2,f8g7,e2e4,f6e4,d2e4,f5e4,g2e4,e8g8,g1e2,d7d5,e4g2,b8c6,e1g1,c8g4,c2c3,d8d7,c1e3,a8d8,d1d2,e7e5,d4e5,c6e5,e3d4,e5f3,g2f3,g4f3,e2f4,g7h6,d2e3,f8f4","0.27,0.63,0.46,0.48,0.52,0.58,0.4,0.45,0.14,0.38,0.34,0.42,0.53,0.51,0.39,0.3,0.24,0.47,0.34,0.43,0.43,0.36,0.18,0.16,-0.02,0.04,-0.4,-0.76,-4.52,-4.4,-4.05,-4.24,-4.47,-4.88,-4.73,-4.97",91.92597122889815,96.93279774299293,36.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,Airquake,Road2GM3000,1-0,2824,2466,180+1,8:02:43 PDT,Airquake won by resignation,"e2e4,e7e5,g1f3,g8f6,b1c3,b8c6,f1c4,f6e4,c3e4,d7d5,c4d3,d5e4,d3e4,f8d6,d2d4,f7f5,e4c6,b7c6,d4e5,d6b4,c1d2,b4d2,d1d2,d8d2,e1d2,c8a6,f3d4,e8c8,d2c3,f5f4,d4c6,d8d5,c6e7","0.31,0.35,0.25,0.34,0.22,0.13,-0.15,-0.07,-0.16,-0.12,-0.08,-0.01,-0.08,-0.11,-0.13,2.06,1.66,1.94,1.59,1.73,1.65,2.15,2.15,2.19,1.97,2.63,1.9,1.88,1.59,2.96,2.82,7.4,7.67",95.90297757517271,87.02234444813308,33.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,miragha_yev,Eliwood44,1-0,2815,2455,180+1,8:02:56 PDT,miragha_yev won by resignation,"c2c4,g8f6,b1c3,e7e6,e2e4,c7c5,e4e5,f6g8,d2d4,c5d4,d1d4,b8c6,d4e4,f8b4,c1d2,b4c3,d2c3,g8e7,g1f3,b7b6,e1c1,c8b7,c1b1,a8c8,e4g4,e8f8,h2h4,c6a5,h4h5,h7h6,g4f4,d8c7,f1e2,a5c4,e2c4,c7c4,f4c4,c8c4,d1d7,b7e4,b1a1,e7d5,d7d8,f8e7,d8h8,b6b5,f3d2","0.12,0.24,0.04,0.29,0.34,0.54,0.54,0.42,0.32,0.49,0.56,0.43,0.25,0.39,0.33,1.67,1.72,1.82,1.71,1.96,1.83,1.89,1.77,1.93,1.77,2.57,1.97,2.88,2.9,3.18,2.24,2.6,1.46,1.47,1.45,1.27,1.47,1.39,1.42,1.49,1.61,4.67,4.85,4.82,4.87,5.47,5.56",93.77787557133833,89.25170874279522,47.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,klimkoj,Happy1712Drummer,1-0,2921,2507,180+1,8:02:59 PDT,klimkoj won by resignation,"d2d4,g8f6,g1f3,d7d5,c2c4,e7e6,b1c3,a7a6,c4d5,e6d5,c1g5,c8e6,e2e3,f8d6,f1d3,b8d7,e1g1,e8g8,d1c2,h7h6,g5h4,a8c8,a1d1,c7c5,d4c5,d7c5,d3f5,c5e4,f5e4,d5e4,h4f6,d8f6,c2e4,d6b8,e4b7,e6g4,h2h3,g4h5,c3d5,f6d6,d5e7","0.26,0.19,0.24,0.2,0.23,0.16,0.18,0.39,0.39,0.3,0.41,0.39,0.38,0.4,0.36,0.44,0.43,0.47,0.35,0.35,0.21,0.23,0.13,0.43,0.47,0.35,0.08,0.19,0.5,0.45,0.2,0.48,0.28,2.29,2.33,4.32,1.89,4.18,4.44,6.08,6.39",95.36297619627291,88.04222284512174,41.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,MaxLeto,Elegance_Riks,0-1,2438,2768,180+1,8:03:09 PDT,Elegance_Riks won on time,,,,,
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,NovakRatko,KnightDuta,0-1,2423,2740,180+1,8:03:09 PDT,KnightDuta won by resignation,"d2d3,d7d5,e2e4,d5e4,d3e4,d8d1,e1d1,e7e5,c2c3,f7f5,f1d3,f5e4,d3e4,g8f6,e4c2,b8c6,f2f3,c8e6,c1e3,e8c8,d1e2,f6d5,b2b4,d5e3,e2e3,f8e7,g1e2,a7a5,a2a3,c8b8,c2e4,d8d6,h2h4,h7h5,b1d2,g7g5,g2g3,g5h4,g3h4,e7f8,e4d5,f8h6","-0.06,-0.13,-0.09,-0.02,-0.11,-0.11,-0.08,-0.13,-0.04,-0.12,-0.33,-0.33,-0.34,-0.39,-0.23,-0.25,-0.52,-0.48,-1.1,-0.94,-1.19,-0.88,-2.11,-2.19,-2.15,-1.36,-1.28,-1.28,-1.42,-0.6,-1.76,-1.95,-2.01,-1.58,-1.63,-1.66,-1.7,-1.66,-1.57,-1.34,-5.8,-5.62",86.7378456095156,92.08716750286837,42.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,MITerryble,GameOverBro,1-0,3038,2530,180+1,8:03:15 PDT,MITerryble won by resignation,"e2e4,d7d6,d2d4,g8f6,f1d3,e7e5,c2c3,d6d5,c1g5,d5e4,d3e4,e5d4,d1e2,c8e6,e4b7,b8d7,b7a8,d8a8,g1f3,d4c3,b1c3,f8c5,e1g1,e8g8,g5e3,c5b4,f3d4,e6g4,f2f3,g4h5,f1e1,f8e8,e2f2,a7a6,a1d1,d7b6,d4c2,b4d6,e3b6","0.36,0.42,0.46,0.37,0.38,0.38,0.34,0.38,-0.13,-0.04,-0.19,-0.16,-0.32,2.38,2.11,2.44,2.54,2.53,2.62,2.74,2.86,2.96,2.96,2.89,2.9,2.73,2.97,2.98,2.91,2.95,2.7,2.85,1.96,3.15,3.13,3.84,3.79,5.47,5.21",94.63053029055884,88.3942973663125,39.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,KINGOF2SOAP,Onischuk_V,0-1,2459,2819,180+1,8:03:17 PDT,Onischuk_V won by checkmate,"e2e4,d7d6,d2d4,g8f6,b1c3,g7g6,f2f3,c7c6,c1e3,b7b5,a2a3,b8d7,d1d2,c8b7,e1c1,a7a5,g1e2,b5b4,a3b4,a5b4,c3b1,d8b6,d4d5,b6c5,e3c5,d6c5,g2g4,c6d5,e4d5,f6d5,e2f4,f8h6,d2e2,h6f4,b1d2,a8a1","0.27,0.47,0.49,0.52,0.41,0.71,0.64,0.69,0.66,0.61,0.53,0.58,0.37,0.52,-0.26,-0.31,-0.65,-0.7,-1.68,-2.01,-1.78,-1.42,-2.75,3.51,3.62,3.77,3.67,3.64,2.76,3.09,3.01,3.14,-3.68,-3.54,-1,0",81.76594771854764,90.75876082129481,36.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,SHIVACalypso,Shield12,1-0,2544,2998,180+1,8:03:23 PDT,SHIVACalypso won by resignation,"g1f3,c7c5,c2c4,g7g6,g2g3,f8g7,f1g2,g8f6,e1g1,d7d5,c4d5,f6d5,b1c3,b8c6,c3d5,d8d5,d2d3,e8g8,c1e3,c8d7,a1c1,d5a2,b2b3,b7b6,d3d4,c5d4,f3d4,c6d4,e3d4,a8d8,c1a1,a2a1,d1a1,g7d4,a1d4,d7e6,d4b4,d8d6,e2e4,f8d8,e4e5,d6d7,h2h4,h7h5,f1c1,g8f8,g1h2,d7d4,b4a3,d8d7,g2h3,d4d2,h3e6,d2f2,h2g1,d7d2,e6h3","0.21,0.27,0.19,0.36,0.09,0.19,0.18,0.45,0.29,0.26,0.29,0.31,0.06,0.08,0.0,0.01,0.1,0.08,0.09,0.14,-0.18,-0.25,-1.05,-1.0,-1.1,-0.3,-0.22,0.95,0.85,4.22,4.36,4.28,4.26,4.37,4.23,4.65,4.38,4.42,3.62,3.52,3.5,3.34,3.25,3.28,3.25,3.29,3.38,3.36,3.43,3.72,4.14,4.37,4.44,3.64,3.79,6.28,5.64",94.21102593853982,90.42739736122898,57.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,Aslanov_Umid,ClauSanLuis,1-0,2651,2349,180+1,8:03:30 PDT,Aslanov_Umid won by resignation,"e2e4,c7c5,g1f3,b8c6,d2d4,c5d4,f3d4,g8f6,b1c3,e7e5,d4b5,a7a6,b5d6,f8d6,d1d6,d8e7,d6e7,e8e7,c1g5,a8b8,c3d5,e7e6,f1c4,c6a5,g5f6,a5c4,f6g7,h8g8,g7h6,g8g2,e1c1,d7d6,f2f4,e5f4,d5f4","0.31,0.31,0.4,0.32,0.34,0.29,0.33,0.43,0.38,0.42,0.43,1.03,1.04,1.04,1.16,1.08,1.27,1.94,1.93,2.69,2.39,2.42,1.04,1.85,1.5,2.06,1.65,2.06,1.72,2.48,2.61,3.04,2.73,6.1,6.04",93.22139982897183,85.16118268247402,35.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,Darko-Dimitrijevic,EgorYakovlev,1-0,2282,2569,180+1,8:03:35 PDT,Darko-Dimitrijevic won by resignation,"c2c4,g7g6,g2g3,f8g7,f1g2,c7c5,b1c3,b8c6,d2d3,d7d6,a2a3,e7e5,g1f3,g8e7,e1g1,e8g8,c1g5,f7f6,g5d2,c8e6,a1b1,a7a5,e2e4,h7h6,d1c1,g8h7,h2h3,f6f5,c3d5,a5a4,b2b4,a4b3,b1b3,e6d5,e4d5,c6d4,f3d4,e5d4,b3b7,a8a3,c1a3,g6g5,f2f4,e7g6,a3a7,d8f6,f4g5,h6g5,g2e4","0.16,0.55,0.14,0.18,0.17,0.21,0.19,0.18,0.1,0.17,0.09,0.39,0.39,0.36,0.4,0.41,0.27,0.28,0.36,0.25,0.3,0.52,0.1,0.21,-0.06,-0.12,-0.23,-0.17,-0.42,-0.22,-0.35,0.04,0.16,1.23,1.16,2.46,2.17,2.31,2.59,5.65,5.53,6.27,5.53,5.85,5.67,7.04,7.71,7.46,5.37",94.9344910439341,89.32471394312039,49.0
Early-Titled-Tuesday-Blitz-May-07-2024,Chess.com,2024.05.07,1,cycygogne,ChainedDowntohell,0-1,2173,2573,180+1,8:03:38 PDT,ChainedDowntohell won by resignation,"e2e4,g7g6,d2d4,d7d6,b1c3,f8g7,c1g5,a7a6,d1d2,b7b5,f1d3,c8b7,e1c1,h7h6,g5h4,b8d7,f2f4,c7c5,d4c5,d7c5,g1f3,d8a5,c1b1,g7c3,b2c3,c5a4,h4e1,g8f6,c3c4,a5d2,f3d2,a4c3,b1b2,c3d1","0.27,0.66,0.63,0.68,0.73,0.73,0.53,0.51,0.39,0.36,0.18,0.17,-0.41,0.4,-0.47,-0.65,-0.54,-0.62,-0.68,-0.77,-0.78,-0.59,-2.36,-2.38,-2.24,-1.9,-1.89,-2.06,-3.14,-3.12,-3.72,-4.02,-5.01,-5.32",86.01257836038702,92.0345750739043,34.0
