Player,Average Performance Score
Airquake,0.11
Aisen1011,-0.11
Aslanov_Umid,0.15
ChainedDowntohell,0.09
ClauSanLuis,-0.15
Darko-Dimitrijevic,0.84
EgorYakovlev,-0.84
Elegance_Riks,0.13
Eliwood44,-0.11
GMSrinath,0.11
GameOverBro,-0.05
Happy1712Drummer,-0.08
Honiex,0.1
KINGOF2SOAP,-0.11
KnightDuta,0.14
MITerryble,0.05
MaxLeto,-0.13
NovakRatko,-0.14
Onischuk_V,0.11
Road2GM3000,-0.11
SHIVACalypso,0.93
Senn71,-0.1
Shield12,-0.93
cycygogne,-0.09
klimkoj,0.08
miragha_yev,0.11
