Player,Average Performance Score,Won White,Won Black,Draw White,Draw Black,points
Airquake,0.11,1.0,0.0,0.0,0.0,1.0
Aisen1011,-0.11,0.0,0.0,0.0,0.0,0.0
Aslanov_Umid,0.15,1.0,0.0,0.0,0.0,1.0
ChainedDowntohell,0.09,0.0,1.0,0.0,0.0,1.0
ClauSanLuis,-0.15,0.0,0.0,0.0,0.0,0.0
Darko-Dimitrijevic,0.84,1.0,0.0,0.0,0.0,1.0
EgorYakovlev,-0.84,0.0,0.0,0.0,0.0,0.0
Elegance_Riks,0.13,0.0,1.0,0.0,0.0,1.0
Eliwood44,-0.11,0.0,0.0,0.0,0.0,0.0
GMSrinath,0.11,0.0,1.0,0.0,0.0,1.0
GameOverBro,-0.05,0.0,0.0,0.0,0.0,0.0
Happy1712Drummer,-0.08,0.0,0.0,0.0,0.0,0.0
Honiex,0.1,1.0,0.0,0.0,0.0,1.0
KINGOF2SOAP,-0.11,0.0,0.0,0.0,0.0,0.0
KnightDuta,0.14,0.0,1.0,0.0,0.0,1.0
MITerryble,0.05,1.0,0.0,0.0,0.0,1.0
MaxLeto,-0.13,0.0,0.0,0.0,0.0,0.0
NovakRatko,-0.14,0.0,0.0,0.0,0.0,0.0
Onischuk_V,0.11,0.0,1.0,0.0,0.0,1.0
Road2GM3000,-0.11,0.0,0.0,0.0,0.0,0.0
SHIVACalypso,0.93,1.0,0.0,0.0,0.0,1.0
Senn71,-0.1,0.0,0.0,0.0,0.0,0.0
Shield12,-0.93,0.0,0.0,0.0,0.0,0.0
cycygogne,-0.09,0.0,0.0,0.0,0.0,0.0
klimkoj,0.08,1.0,0.0,0.0,0.0,1.0
miragha_yev,0.11,1.0,0.0,0.0,0.0,1.0
